condition,day_index,r2_date,time_bin,time_end_ms,gap_mean
Original interference random fixed40,3,20250830,80,2430,0.0816684368794975
Original interference random fixed40,3,20250830,81,2460,0.081742208191236
Original interference random fixed40,3,20250830,82,2490,0.0818071478354571
Original interference random fixed40,3,20250830,83,2520,0.0818836335023052
Original interference random fixed40,3,20250830,84,2550,0.081908847920297
Original interference random fixed40,3,20250830,85,2580,0.0819251482892541
Original interference random fixed40,3,20250830,86,2610,0.0819382967831156
Original interference random fixed40,3,20250830,87,2640,0.0819458541370307
Original interference random fixed40,3,20250830,88,2670,0.0819502121720926
Forget dropout-clean fixed39,1,20260626,3,120,-0.1130026335494507
Forget dropout-clean fixed39,1,20260626,4,150,-0.1280033903899515
Forget dropout-clean fixed39,1,20260626,5,180,-0.1235251296111118
Forget dropout-clean fixed39,1,20260626,6,210,-0.0948046153924197
Forget dropout-clean fixed39,1,20260626,7,240,-0.0662572958980293
Forget dropout-clean fixed39,1,20260626,8,270,-0.059062016729545
Forget dropout-clean fixed39,1,20260626,9,300,-0.0393536996509244
Forget dropout-clean fixed39,1,20260626,10,330,-0.0322949658086852
Forget dropout-clean fixed39,1,20260626,11,360,-0.0219589595671307
Forget dropout-clean fixed39,1,20260626,12,390,-0.0096410296991107
Forget dropout-clean fixed39,1,20260626,13,420,-0.0058209026285265
Forget dropout-clean fixed39,1,20260626,14,450,-0.0043606947229018
Forget dropout-clean fixed39,1,20260626,15,480,-0.0065025596225646
Forget dropout-clean fixed39,1,20260626,16,510,-0.0062486490938304
Forget dropout-clean fixed39,1,20260626,17,540,-0.0052237103472724
Forget dropout-clean fixed39,1,20260626,18,570,-0.0004135269530665
Forget dropout-clean fixed39,1,20260626,19,600,0.003805471704527
Forget dropout-clean fixed39,1,20260626,20,630,0.0059957933843751
Forget dropout-clean fixed39,1,20260626,21,660,0.0080202893210877
Forget dropout-clean fixed39,1,20260626,22,690,0.009662044201385
Forget dropout-clean fixed39,1,20260626,23,720,0.0134033463768465
Forget dropout-clean fixed39,1,20260626,24,750,0.0168277197766633
Forget dropout-clean fixed39,1,20260626,25,780,0.0184388222904145
Forget dropout-clean fixed39,1,20260626,26,810,0.0190978949893522
Forget dropout-clean fixed39,1,20260626,27,840,0.019716189111568
Forget dropout-clean fixed39,1,20260626,28,870,0.0208361114250228
Forget dropout-clean fixed39,1,20260626,29,900,0.0222800947382955
Forget dropout-clean fixed39,1,20260626,30,930,0.0243958254298567
Forget dropout-clean fixed39,1,20260626,31,960,0.0265548429438299
Forget dropout-clean fixed39,1,20260626,32,990,0.0279678014673629
Forget dropout-clean fixed39,1,20260626,33,1020,0.0289333153414169
Forget dropout-clean fixed39,1,20260626,34,1050,0.0302223723504438
Forget dropout-clean fixed39,1,20260626,35,1080,0.0314053021350131
Forget dropout-clean fixed39,1,20260626,36,1110,0.0317646687782763
Forget dropout-clean fixed39,1,20260626,37,1140,0.03132790087949
Forget dropout-clean fixed39,1,20260626,38,1170,0.0305008507733921
Forget dropout-clean fixed39,1,20260626,39,1200,0.0300205110842732
Forget dropout-clean fixed39,1,20260626,40,1230,0.0292405682532206
Forget dropout-clean fixed39,1,20260626,41,1260,0.0288127655585011
Forget dropout-clean fixed39,1,20260626,42,1290,0.0284738014833779
Forget dropout-clean fixed39,1,20260626,43,1320,0.0281626851497626
Forget dropout-clean fixed39,1,20260626,44,1350,0.0279475383991662
Forget dropout-clean fixed39,1,20260626,45,1380,0.0278266690215532
Forget dropout-clean fixed39,1,20260626,46,1410,0.0277478638020253
Forget dropout-clean fixed39,1,20260626,47,1440,0.027667689436736
Forget dropout-clean fixed39,1,20260626,48,1470,0.0276065608516547
Forget dropout-clean fixed39,1,20260626,49,1500,0.0275790819796951
Forget dropout-clean fixed39,1,20260626,50,1530,0.0275834829170512
Forget dropout-clean fixed39,1,20260626,51,1560,0.0276225271042655
Forget dropout-clean fixed39,1,20260626,52,1590,0.0276654074774513
Forget dropout-clean fixed39,1,20260626,53,1620,0.0276528532240424
Forget dropout-clean fixed39,1,20260626,54,1650,0.0275927629129569
Forget dropout-clean fixed39,1,20260626,55,1680,0.027519525224134
Forget dropout-clean fixed39,1,20260626,56,1710,0.0274467264009042
Forget dropout-clean fixed39,1,20260626,57,1740,0.0273775366549551
Forget dropout-clean fixed39,1,20260626,58,1770,0.0273364156805941
Forget dropout-clean fixed39,1,20260626,59,1800,0.0273354934395199
Forget dropout-clean fixed39,1,20260626,60,1830,0.0273779000587927
Forget dropout-clean fixed39,1,20260626,61,1860,0.0274338140062726
Forget dropout-clean fixed39,1,20260626,62,1890,0.0274757036492056
Forget dropout-clean fixed39,1,20260626,63,1920,0.0275076812985981
Forget dropout-clean fixed39,1,20260626,64,1950,0.0275767360089955
Forget dropout-clean fixed39,1,20260626,65,1980,0.0276993641374604
Forget dropout-clean fixed39,1,20260626,66,2010,0.0278148212321843
Forget dropout-clean fixed39,1,20260626,67,2040,0.0279132179316278
Forget dropout-clean fixed39,1,20260626,68,2070,0.0279600328691498
Forget dropout-clean fixed39,1,20260626,69,2100,0.0279593559798676
Forget dropout-clean fixed39,1,20260626,70,2130,0.0279463944074237
Forget dropout-clean fixed39,1,20260626,71,2160,0.0279252401399244
Forget dropout-clean fixed39,1,20260626,72,2190,0.027905504823462
Forget dropout-clean fixed39,1,20260626,73,2220,0.0278873712835433
Forget dropout-clean fixed39,1,20260626,74,2250,0.0278751087477657
Forget dropout-clean fixed39,1,20260626,75,2280,0.0278756973491938
Forget dropout-clean fixed39,1,20260626,76,2310,0.0279005141661287
Forget dropout-clean fixed39,1,20260626,77,2340,0.0279336824151527
Forget dropout-clean fixed39,1,20260626,78,2370,0.0279693490569404
Forget dropout-clean fixed39,1,20260626,79,2400,0.0280091960465893
Forget dropout-clean fixed39,1,20260626,80,2430,0.0280493535424573
Forget dropout-clean fixed39,1,20260626,81,2460,0.0280899695916681
Forget dropout-clean fixed39,1,20260626,82,2490,0.028135112132433
Forget dropout-clean fixed39,1,20260626,83,2520,0.0281921740956929
Forget dropout-clean fixed39,2,20260627,3,120,-0.0287977635333727
Forget dropout-clean fixed39,2,20260627,4,150,0.0056157041681957
Forget dropout-clean fixed39,2,20260627,5,180,0.0280333643563295
Forget dropout-clean fixed39,2,20260627,6,210,0.0549146315514103
Forget dropout-clean fixed39,2,20260627,7,240,0.0511625672144093
Forget dropout-clean fixed39,2,20260627,8,270,0.0465439101053154
Forget dropout-clean fixed39,2,20260627,9,300,0.0559284366512129
Forget dropout-clean fixed39,2,20260627,10,330,0.0585770768272003
Forget dropout-clean fixed39,2,20260627,11,360,0.0543768278853135
Forget dropout-clean fixed39,2,20260627,12,390,0.0480295743094641
Forget dropout-clean fixed39,2,20260627,13,420,0.0391224203977495
Forget dropout-clean fixed39,2,20260627,14,450,0.030477436927141
Forget dropout-clean fixed39,2,20260627,15,480,0.0258609675056098
Forget dropout-clean fixed39,2,20260627,16,510,0.0266886742295911
Forget dropout-clean fixed39,2,20260627,17,540,0.0274043196189166
Forget dropout-clean fixed39,2,20260627,18,570,0.0309815251614408
Forget dropout-clean fixed39,2,20260627,19,600,0.0333181623901192
Forget dropout-clean fixed39,2,20260627,20,630,0.0329129493483534
Forget dropout-clean fixed39,2,20260627,21,660,0.0295869735125065
Forget dropout-clean fixed39,2,20260627,22,690,0.0264669561369155
Forget dropout-clean fixed39,2,20260627,23,720,0.0248101856183451
Forget dropout-clean fixed39,2,20260627,24,750,0.0251530622762265
Forget dropout-clean fixed39,2,20260627,25,780,0.0254601068185265
Forget dropout-clean fixed39,2,20260627,26,810,0.0258984125562883
Forget dropout-clean fixed39,2,20260627,27,840,0.0267232776408045
Forget dropout-clean fixed39,2,20260627,28,870,0.0266518446181146
Forget dropout-clean fixed39,2,20260627,29,900,0.0265855763844414
Forget dropout-clean fixed39,2,20260627,30,930,0.026675868186856
Forget dropout-clean fixed39,2,20260627,31,960,0.0269972641735099
Forget dropout-clean fixed39,2,20260627,32,990,0.0272839598134154
Forget dropout-clean fixed39,2,20260627,33,1020,0.0272395991610204
Forget dropout-clean fixed39,2,20260627,34,1050,0.0267311870563884
Forget dropout-clean fixed39,2,20260627,35,1080,0.0260554071295308
Forget dropout-clean fixed39,2,20260627,36,1110,0.0253025971013501
Forget dropout-clean fixed39,2,20260627,37,1140,0.0242288827584671
